userID,animeID,rating
22,99,10
22,798,10
22,2,10
22,113,10
22,765,10
22,12,10
22,122,10
22,62,10
22,217,8
22,36,8
22,218,10
22,220,10
22,222,10
22,223,8
22,730,8
22,224,8
22,225,10
22,60,10
22,123,8
22,230,8
22,1309,8
22,236,10
22,237,10
22,239,8
22,1310,8
22,128,8
22,1311,10
22,1313,10
22,13,10
22,1314,10
22,246,10
22,129,8
22,41,10
22,1315,10
22,1316,6
22,7,8
22,264,10
22,1051,10
22,268,8
22,269,8
22,1052,8
22,1053,8
22,6,10
22,38,10
22,1317,10
22,47,10
22,64,10
22,611,8
22,1054,10
22,37,10
22,56,8
22,616,10
22,163,10
22,213,10
22,908,8
22,1319,8
22,1320,8
22,1321,8
22,300,10
22,301,8
22,302,10
22,14,10
22,1322,6
22,199,8
22,1,10
22,311,8
22,621,8
22,1323,6
22,1324,8
22,1325,6
22,319,10
22,107,10
22,74,10
22,75,6
22,629,10
22,321,10
22,1326,8
22,44,8
22,917,8
22,1035,8
22,1327,6
22,742,8
22,1330,8
22,1331,10
22,73,8
22,1332,8
22,1333,8
22,1334,8
22,1335,8
22,48,10
22,166,8
22,1336,10
22,333,10
22,335,10
22,336,10
22,1337,8
22,337,10
22,68,10
22,1039,8
22,339,10
22,139,8
22,1041,8
22,141,10
22,179,10
22,192,10
22,191,10
22,183,10
22,185,10
22,53,10
22,186,10
22,50,10
22,187,10
22,194,10
22,195,10
22,184,10
22,190,10
22,1338,10
22,103,10
22,346,8
22,1226,8
22,351,10
22,182,10
22,51,10
22,52,10
22,188,6
22,637,8
22,744,8
22,1339,8
22,1340,8
22,888,6
22,887,6
22,1341,6
22,894,6
22,891,6
22,890,6
22,1042,8
22,1342,6
22,1343,8
22,1344,10
22,35,8
22,1345,6
22,1043,8
22,368,8
22,1346,6
22,143,10
22,882,6
22,114,6
22,371,10
22,1347,8
22,144,10
22,377,10
22,164,8
22,381,10
22,383,8
22,889,6
22,1351,10
22,59,10
22,394,4
22,1353,8
22,400,10
22,647,10
22,1354,8
22,147,10
22,649,8
22,1234,8
22,175,8
22,409,10
22,897,6
22,19,10
22,1359,8
22,411,10
22,1360,10
22,1361,8
22,170,8
22,651,8
22,418,8
22,422,10
22,424,10
22,758,8
22,1364,10
22,426,8
22,899,6
22,167,8
22,32,10
22,148,10
22,1365,8
22,23,8
22,433,8
22,1366,8
22,1367,8
22,443,8
22,15,10
22,465,8
22,466,8
22,764,8
22,665,10
22,1369,8
22,1067,10
22,668,10
22,150,10
22,670,10
393,606,9
393,36,8
393,223,4
393,231,7
393,232,7
393,237,8
393,238,9
393,239,8
393,126,8
393,255,7
393,1317,10
393,64,6
393,280,7
393,300,8
393,132,9
393,994,7
393,3253,8
393,136,8
393,335,10
393,344,9
393,637,9
393,361,6
393,362,9
393,370,8
393,1495,8
393,144,8
393,381,7
393,59,8
393,1265,8
393,395,10
393,400,10
393,647,6
393,405,6
393,408,5
393,409,10
393,758,7
393,1364,7
393,148,9
393,23,9
393,432,8
393,442,9
393,443,9
393,451,9
393,457,8
393,459,7
393,662,8
393,468,8
393,668,9
393,470,9
393,476,10
393,477,7
393,480,8
393,481,7
393,484,8
393,489,9
393,498,7
393,115,9
393,99,10
393,1518,9
393,513,10
393,1703,8
393,10,9
393,1557,9
393,69,8
393,523,10
393,524,10
393,530,8
393,531,6
393,533,9
393,1993,9
393,535,8
393,537,10
393,682,9
393,152,7
393,683,9
393,540,9
393,86,10
393,154,7
393,66,8
393,557,8
393,559,10
393,568,8
393,2030,5
393,782,8
393,54,8
393,575,9
393,877,10
393,578,10
393,1194,8
393,580,5
393,581,9
393,786,9
393,583,8
393,104,9
393,585,9
393,587,9
393,588,8
393,788,9
393,1521,9
393,590,9
393,71,10
393,592,7
393,1522,9
393,693,7
393,1523,9
393,796,8
393,602,9
393,604,9
393,1567,5
393,1524,8
393,798,10
393,1525,9
393,1568,9
393,1276,8
393,1205,8
393,1747,9
393,1002,9
393,1528,9
393,2081,7
393,815,10
393,823,8
393,825,9
393,826,7
393,1529,8
393,829,10
